title,original_title,info_text,year,tail,rating,num_ratings,quote,cn_title,en_title
茶馆,,导演: 谢添 Tian Xie 主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T... 1982(中国大陆) / 中国大陆 / 剧情 历史,1982,中国大陆 / 剧情 历史,9.6,204374,,茶馆,
被嫌弃的松子的一生 / /嫌われ松子の一生,令人讨厌的松子的一生(台),导演: 中岛哲也 Tetsuya Nakashima 主演: 中谷美纪 Miki Nakatani / 瑛太 E... 2006 / 日本 / 剧情 歌舞,2006,日本 / 剧情 歌舞,8.8,770404,以戏谑来戏谑戏谑。,被嫌弃的松子的一生,嫌われ松子の一生
重庆森林 / /重慶森林,,导演: 王家卫 Kar Wai Wong 主演: 林青霞 Brigitte Lin / 金城武 Takeshi K... 1994 / 中国香港 / 剧情 爱情,1994,中国香港 / 剧情 爱情,8.8,916106,,重庆森林,重慶森林
哈利·波特与火焰杯 / /Harry Potter and the Goblet of Fire,台),导演: 迈克·内威尔 Mike Newell 主演: 丹尼尔·雷德克里夫 Daniel Radclif... 2005 / 英国 美国 / 悬疑 奇幻 冒险,2005,英国 美国 / 悬疑 奇幻 冒险,8.8,793047,,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire
未麻的部屋 / /Perfect Blue,台),导演: 今敏 Satoshi Kon 主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu... 1997 / 日本 / 剧情 犯罪 动画 悬疑 惊悚,1997,日本 / 剧情 犯罪 动画 悬疑 惊悚,9.1,419917,,未麻的部屋,Perfect Blue
头脑特工队 / /Inside Out,脑筋急转弯(台),导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen &nb... 2015 / 美国 / 喜剧 动画 冒险,2015,美国 / 喜剧 动画 冒险,8.8,796143,愿我们都不用长大，每一座城堡都能永远存在。,头脑特工队,Inside Out
借东西的小人阿莉埃蒂 / /借りぐらしのアリエッティ,借东西的小矮人亚莉亚蒂(港),导演: 米林宏昌 Hiromasa Yonebayashi 主演: 志田未来 Mirai Shida / 神木... 2010 / 日本 / 动画 奇幻 冒险,2010,日本 / 动画 奇幻 冒险,8.9,623114,曾经的那段美好会沉淀为一辈子的记忆。,借东西的小人阿莉埃蒂,借りぐらしのアリエッティ
入殓师 / /おくりびと,礼仪师(台),导演: 泷田洋二郎 Yôjirô Takita 主演: 本木雅弘 Masahiro Motoki / ... 2008 / 日本 / 剧情,2008,日本 / 剧情,8.9,739297,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,入殓师,おくりびと
菊次郎的夏天 / /菊次郎の夏,Kikujirô no natsu,导演: 北野武 Takeshi Kitano 主演: 北野武 Takeshi Kitano / 关口雄介 Yus... 1999 / 日本 / 剧情 喜剧,1999,日本 / 剧情 喜剧,8.9,669216,,菊次郎的夏天,菊次郎の夏
断背山 / /Brokeback Mountain,BBM,导演: 李安 Ang Lee 主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake... 2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,2005,美国 加拿大 / 剧情 爱情 同性 家庭,8.8,776920,每个人心中都有一座断背山。,断背山,Brokeback Mountain
剪刀手爱德华 / /Edward Scissorhands,剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton 主演: 约翰尼·德普 Johnny Depp / 薇诺娜·... 1990 / 美国 / 剧情 爱情 奇幻,1990,美国 / 剧情 爱情 奇幻,8.7,1115130,,剪刀手爱德华,Edward Scissorhands
勇敢的心 / /Braveheart,梅尔吉勃逊之英雄本色(台),导演: 梅尔·吉布森 Mel Gibson 主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛... 1995 / 美国 / 动作 传记 剧情 历史 战争,1995,美国 / 动作 传记 剧情 历史 战争,8.9,602639,,勇敢的心,Braveheart
时空恋旅人 / /About Time,真爱每一天(台),导演: 理查德·柯蒂斯 Richard Curtis 主演: 多姆纳尔·格里森 Domhnall Gl... 2013 / 英国 美国 / 喜剧 爱情 奇幻,2013,英国 美国 / 喜剧 爱情 奇幻,8.8,784436,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人,About Time
消失的爱人 / /Gone Girl,失踪女孩,导演: 大卫·芬奇 David Fincher 主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙... 2014 / 美国 / 剧情 犯罪 悬疑 惊悚,2014,美国 / 剧情 犯罪 悬疑 惊悚,8.7,1065447,年度最佳date movie。,消失的爱人,Gone Girl
倩女幽魂,倩女幽魂：妖魔道,导演: 程小东 Siu-Tung Ching 主演: 张国荣 Leslie Cheung / 王祖贤 Joey W... 1987 / 中国香港 / 爱情 奇幻 武侠 古装,1987,中国香港 / 爱情 奇幻 武侠 古装,8.8,830771,,倩女幽魂,
无人知晓 / /誰も知らない,无人知晓的夏日清晨(台),导演: 是枝裕和 Hirokazu Koreeda 主演: 柳乐优弥 Yûya Yagira / 北浦爱... 2004 / 日本 / 剧情,2004,日本 / 剧情,9.1,369335,我的平常生活就是他人的幸福。,无人知晓,誰も知らない
驯龙高手 / /How to Train Your Dragon,,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders 主演:... 2010 / 美国 / 动画 奇幻 冒险,2010,美国 / 动画 奇幻 冒险,8.8,857605,和谐的生活离不开摸头与被摸头。,驯龙高手,How to Train Your Dragon
花样年华 / /花樣年華,花样年华4K修复版,导演: 王家卫 Kar Wai Wong 主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu... 2000 / 中国香港 / 剧情 爱情,2000,中国香港 / 剧情 爱情,8.8,796964,,花样年华,花樣年華
傲慢与偏见 / /Pride & Prejudice,Pride And Prejudice,导演: 乔·怀特 Joe Wright 主演: 凯拉·奈特莉 Keira Knightley / 马修·... 2005 / 法国 英国 美国 / 剧情 爱情,2005,法国 英国 美国 / 剧情 爱情,8.7,922809,爱是摈弃傲慢与偏见之后的曙光。,傲慢与偏见,Pride & Prejudice
新世界 / /신세계,New World,导演: 朴勋政 Hoon-jung Park 主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik... 2013 / 韩国 / 剧情 犯罪,2013,韩国 / 剧情 犯罪,8.9,521905,要做就做得狠一点，这样才能活下去。,新世界,신세계
完美的世界 / /A Perfect World,,导演: 克林特·伊斯特伍德 Clint Eastwood 主演: 凯文·科斯特纳 Kevin Cos... 1993 / 美国 / 剧情 犯罪,1993,美国 / 剧情 犯罪,9.1,357818,,完美的世界,A Perfect World
玩具总动员3 / /Toy Story 3,玩具的故事3,导演: 李·昂克里奇 Lee Unkrich 主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾... 2010 / 美国 / 喜剧 动画 奇幻 冒险,2010,美国 / 喜剧 动画 奇幻 冒险,8.9,587690,跨度十五年的欢乐与泪水。,玩具总动员3,Toy Story 3
